backend,model,language,category,constrained_exact,unconstrained_exact,exact_delta,constrained_pass_rate,unconstrained_pass_rate,pass_rate_delta,constrained_parse_error,unconstrained_parse_error,parse_error_delta,constrained_non_completable,unconstrained_non_completable
local,Qwen/Qwen3.5-4B,stlc,stlc:logic_contraction,0.0,0.0,0.0,50.0,100.0,-50.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-4B,stlc,stlc:logic_elimination,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-4B,stlc,stlc:logic_eta,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-4B,stlc,stlc:logic_function_result,0.0,100.0,-100.0,0.0,100.0,-100.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-4B,stlc,stlc:logic_higher_order,0.0,66.67,-66.67,66.67,66.67,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-4B,stlc,stlc:logic_identity,0.0,0.0,0.0,100.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-4B,stlc,stlc:logic_modus_ponens,0.0,50.0,-50.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-4B,stlc,stlc:logic_pipeline,0.0,0.0,0.0,0.0,100.0,-100.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-4B,stlc,stlc:logic_projection,0.0,0.0,0.0,0.0,100.0,-100.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-4B,stlc,stlc:logic_repetition,0.0,50.0,-50.0,100.0,50.0,50.0,0.0,0.0,0.0,0.0,50.0
local,Qwen/Qwen3.5-4B,stlc,stlc:logic_substitution,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0
local,Qwen/Qwen3.5-4B,stlc,stlc:logic_weakening,0.0,33.33,-33.33,100.0,66.67,33.33,0.0,0.0,0.0,0.0,33.33
