backend,model,language,category,constrained_exact,unconstrained_exact,exact_delta,constrained_pass_rate,unconstrained_pass_rate,pass_rate_delta,constrained_parse_error,unconstrained_parse_error,parse_error_delta,constrained_non_completable,unconstrained_non_completable
local,Qwen/Qwen3.5-0.8B,fun,fun:function_arithmetic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33
local,Qwen/Qwen3.5-0.8B,fun,fun:function_closure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
local,Qwen/Qwen3.5-0.8B,fun,fun:function_composition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-0.8B,fun,fun:function_constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-0.8B,fun,fun:function_float,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
local,Qwen/Qwen3.5-0.8B,fun,fun:function_higher_order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-0.8B,imp,imp:arithmetic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-0.8B,imp,imp:assignment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-0.8B,imp,imp:boolean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
local,Qwen/Qwen3.5-0.8B,imp,imp:branching,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33
local,Qwen/Qwen3.5-0.8B,imp,imp:loops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-0.8B,imp,imp:mixed_control,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-0.8B,imp,imp:nested_branching,0.0,0.0,0.0,33.33,0.0,33.33,0.0,0.0,0.0,0.0,66.67
local,Qwen/Qwen3.5-0.8B,imp,imp:sequence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-0.8B,imp,imp:while_loop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.67
local,Qwen/Qwen3.5-0.8B,stlc,stlc:logic_application,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-0.8B,stlc,stlc:logic_argument_order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-0.8B,stlc,stlc:logic_choice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-0.8B,stlc,stlc:logic_composition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33
local,Qwen/Qwen3.5-0.8B,stlc,stlc:logic_continuation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-0.8B,stlc,stlc:logic_contraction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-0.8B,stlc,stlc:logic_elimination,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-0.8B,stlc,stlc:logic_eta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-0.8B,stlc,stlc:logic_function_result,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-0.8B,stlc,stlc:logic_higher_order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.67
local,Qwen/Qwen3.5-0.8B,stlc,stlc:logic_identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-0.8B,stlc,stlc:logic_modus_ponens,0.0,50.0,-50.0,100.0,50.0,50.0,0.0,0.0,0.0,0.0,50.0
local,Qwen/Qwen3.5-0.8B,stlc,stlc:logic_pipeline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-0.8B,stlc,stlc:logic_projection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-0.8B,stlc,stlc:logic_repetition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-0.8B,stlc,stlc:logic_substitution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-0.8B,stlc,stlc:logic_weakening,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33
local,Qwen/Qwen3.5-1.5B,fun,fun:boolean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,fun,fun:function,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,fun,fun:function_application,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,fun,fun:function_arithmetic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,fun,fun:function_closure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,fun,fun:function_composition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,fun,fun:function_constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,fun,fun:function_float,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,fun,fun:function_higher_order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,imp,imp:arithmetic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,imp,imp:assignment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,imp,imp:boolean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,imp,imp:branching,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,imp,imp:loops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,imp,imp:mixed_control,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,imp,imp:nested_branching,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,imp,imp:sequence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,imp,imp:while_loop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,stlc,stlc:logic_application,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,stlc,stlc:logic_argument_order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,stlc,stlc:logic_choice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,stlc,stlc:logic_composition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,stlc,stlc:logic_continuation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,stlc,stlc:logic_contraction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,stlc,stlc:logic_elimination,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,stlc,stlc:logic_eta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,stlc,stlc:logic_function_result,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,stlc,stlc:logic_higher_order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,stlc,stlc:logic_identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,stlc,stlc:logic_modus_ponens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,stlc,stlc:logic_pipeline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,stlc,stlc:logic_projection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,stlc,stlc:logic_repetition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,stlc,stlc:logic_substitution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,stlc,stlc:logic_weakening,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-2B,fun,fun:boolean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
local,Qwen/Qwen3.5-2B,fun,fun:function,0.0,0.0,0.0,0.0,25.0,-25.0,0.0,0.0,0.0,0.0,75.0
local,Qwen/Qwen3.5-2B,fun,fun:function_application,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-2B,fun,fun:function_arithmetic,0.0,8.33,-8.33,0.0,8.33,-8.33,0.0,0.0,0.0,0.0,41.67
local,Qwen/Qwen3.5-2B,fun,fun:function_closure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-2B,fun,fun:function_composition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
local,Qwen/Qwen3.5-2B,fun,fun:function_constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-2B,fun,fun:function_float,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-2B,fun,fun:function_higher_order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
local,Qwen/Qwen3.5-2B,imp,imp:arithmetic,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-2B,imp,imp:assignment,0.0,33.33,-33.33,0.0,33.33,-33.33,0.0,0.0,0.0,0.0,33.33
local,Qwen/Qwen3.5-2B,imp,imp:boolean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-2B,imp,imp:branching,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.67
local,Qwen/Qwen3.5-2B,imp,imp:loops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-2B,imp,imp:mixed_control,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
local,Qwen/Qwen3.5-2B,imp,imp:nested_branching,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.67
local,Qwen/Qwen3.5-2B,imp,imp:sequence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-2B,imp,imp:while_loop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-2B,stlc,stlc:logic_application,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
local,Qwen/Qwen3.5-2B,stlc,stlc:logic_argument_order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-2B,stlc,stlc:logic_choice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
local,Qwen/Qwen3.5-2B,stlc,stlc:logic_composition,0.0,0.0,0.0,0.0,16.67,-16.67,0.0,0.0,0.0,0.0,66.67
local,Qwen/Qwen3.5-2B,stlc,stlc:logic_continuation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-2B,stlc,stlc:logic_contraction,0.0,0.0,0.0,0.0,50.0,-50.0,0.0,0.0,0.0,0.0,50.0
local,Qwen/Qwen3.5-2B,stlc,stlc:logic_elimination,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-2B,stlc,stlc:logic_eta,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-2B,stlc,stlc:logic_function_result,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-2B,stlc,stlc:logic_higher_order,0.0,33.33,-33.33,0.0,33.33,-33.33,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-2B,stlc,stlc:logic_identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-2B,stlc,stlc:logic_modus_ponens,0.0,50.0,-50.0,50.0,100.0,-50.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-2B,stlc,stlc:logic_pipeline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-2B,stlc,stlc:logic_projection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-2B,stlc,stlc:logic_repetition,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-2B,stlc,stlc:logic_substitution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
local,Qwen/Qwen3.5-2B,stlc,stlc:logic_weakening,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-4B,fun,fun:boolean,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0
local,Qwen/Qwen3.5-4B,fun,fun:function,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,50.0
local,Qwen/Qwen3.5-4B,fun,fun:function_application,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
local,Qwen/Qwen3.5-4B,fun,fun:function_arithmetic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33
local,Qwen/Qwen3.5-4B,fun,fun:function_closure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-4B,fun,fun:function_composition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-4B,fun,fun:function_constant,0.0,0.0,0.0,0.0,100.0,-100.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-4B,fun,fun:function_float,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
local,Qwen/Qwen3.5-4B,fun,fun:function_higher_order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-4B,imp,imp:arithmetic,0.0,0.0,0.0,0.0,50.0,-50.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-4B,imp,imp:assignment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-4B,imp,imp:boolean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-4B,imp,imp:branching,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-4B,imp,imp:loops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-4B,imp,imp:mixed_control,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-4B,imp,imp:nested_branching,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-4B,imp,imp:sequence,0.0,0.0,0.0,33.33,33.33,0.0,0.0,0.0,0.0,0.0,33.33
local,Qwen/Qwen3.5-4B,imp,imp:while_loop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-4B,stlc,stlc:logic_application,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-4B,stlc,stlc:logic_argument_order,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-4B,stlc,stlc:logic_choice,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-4B,stlc,stlc:logic_composition,0.0,0.0,0.0,33.33,33.33,0.0,0.0,0.0,0.0,0.0,50.0
local,Qwen/Qwen3.5-4B,stlc,stlc:logic_continuation,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
